time,open,high,low,close,pz,tz,xup,xdn,est,ema12,atr14,close
1789400760,761.87,761.9,761.58,761.67,-15.147663653063034,-49.279195573157395,0,0,0,760.9059134504904,0.47342792218825747,761.67
1789400880,761.67,761.79,761.48,761.48,-22.038167094635916,-48.69551810917176,0,0,0,760.9942344581073,0.46175449917480665,761.48
1789401000,761.47,761.58,761.29,761.56,-26.082105796359887,-48.155497581362084,0,0,0,761.0812753107061,0.44948632066232597,761.56
1789401120,761.55,761.89,761.54,761.83,-25.321766104485118,-46.97938710028433,0,0,0,761.1964637244437,0.44238015490073285,761.83
1789401240,761.84,761.87,761.66,761.78,-25.418297210735343,-45.92894593668371,0,0,0,761.2862385360677,0.42578157240782594,761.78
1789401360,761.76,761.89,761.69,761.87,-24.285533919104278,-44.808061308202966,0,0,0,761.3760479920572,0.40965431723583345,761.87
1789401480,761.88,762.03,761.73,761.75,-26.070145056955752,-44.136084877043544,0,0,0,761.4335790702023,0.4018218660046992,761.75
1789401600,761.76,761.91,761.44,761.46,-30.885942126049983,-44.51583003680486,0,0,0,761.4376438286328,0.40669173271864306,761.46
1789401720,761.44,761.57,761.34,761.53,-33.5029584625718,-44.868709136814076,0,0,0,761.4518524703816,0.3940708946673127,761.53
1789401840,761.53,761.53,761.24,761.34,-37.61874427065744,-45.6919834557552,0,0,0,761.4346443980152,0.3866372593339306,761.34
1789401960,761.33,761.51,761.33,761.43,-39.56267172335586,-46.11934338190289,0,0,0,761.4339298752436,0.3718774550957891,761.43
1789402080,761.429,761.43,761.21,761.39,-42.14130398647201,-46.480394524398086,0,0,0,761.4271714328985,0.36102906544608376,761.39
1789402200,761.41,761.6,761.36,761.51,-41.82735494373294,-46.3535617170884,0,0,0,761.4399142893757,0.3523841321999356,761.51
1789402320,761.53,761.67,761.5,761.58,-40.36987231486128,-45.89267531377721,0,0,0,761.461465937164,0.33935669418565156,761.58
1789402440,761.53,762.13,761.43,762.09,-31.785784124413922,-43.92684833080346,0,0,0,761.5581634852927,0.3651169303152511,762.09
1789402560,762.06,762.33,762.04,762.32,-23.93508277416142,-41.176223811568605,0,0,0,761.67536910294,0.35975143529273873,762.32
1789402680,762.31,762.44,762.28,762.361,-19.990528532348165,-38.62995096268171,0,0,0,761.7808507794107,0.3454834756289776,762.361
1789402800,762.35,762.381,762.03,762.09,-24.714299908033762,-37.486945683791035,0,0,0,761.8284121979628,0.34587751308405057,762.09
1789402920,762.07,762.45,762.05,762.45,-18.53572493102532,-35.56096758487466,0,0,0,761.924041090584,0.3497434050066249,762.45
1789403040,762.46,762.6,762.19,762.2,-25.69358379560207,-34.907326860731374,0,0,0,761.9664963074172,0.3540474475061494,762.2
1789403160,762.18,762.2,761.88,762.08,-33.00400079634167,-35.068583204510034,0,0,0,761.9839584139684,0.3516154869699995,762.08
1789403280,762.06,762.06,761.91,762.02,-39.26379196416333,-35.561203586538674,0,1,0,761.9895032733579,0.3386429521864333,762.02
1789403400,762.01,762.44,761.95,762.07,-42.707705049777346,-35.917481102400885,0,0,0,762.001887385149,0.349454169887403,762.07
1789403520,762.11,762.33,762.02,762.2,-42.03822110933662,-35.81136333982927,0,0,0,762.0323662489722,0.3466360148954499,762.2
1789403640,762.2,762.27,761.84,761.89,-47.72291043631957,-36.558111340132214,0,0,0,762.0104637491303,0.35259058526005704,761.89
1789403760,761.91,762.1,761.88,761.99,-49.70554790982158,-37.07622747251979,0,0,0,762.0073154800333,0.3431198291700549,761.99
1789403880,761.96,762.13,761.9,762.051,-49.80118950668912,-37.300702408834,0,0,0,762.0140361754128,0.3350398413721951,762.051
1789404000,762.05,762.13,761.93,762.13,-45.0178682265602,-37.16738757034698,0,0,0,762.0318767638108,0.32539413841704157,762.13
1789404120,762.14,762.23,761.97,762.18,-39.653862994012336,-36.77935190283548,0,0,0,762.0546649539938,0.32072312853010937,762.18
1789404240,762.16,762.32,762.07,762.12,-37.76267619654285,-36.60330067018913,0,0,0,762.0647164995332,0.3156714764922444,762.12
1789404360,762.15,762.88,762.09,762.68,-30.47769577016217,-34.934728665498625,1,0,0,762.1593754996051,0.3495520853142243,762.68
1789404480,762.66,763.49,762.66,763.27,-24.59511393288502,-32.07184007226729,0,0,0,762.3302408073581,0.38386979350606837,763.27
1789404600,763.25,763.37,763.1,763.37,-19.46041995670606,-29.012687213986286,0,0,0,762.4902037600723,0.3757362368270622,763.37
1789404720,763.35,763.52,763.24,763.285,-17.645915430155203,-26.627741766837808,0,0,0,762.6124801046766,0.3688979341965558,763.285
1789404840,763.29,763.29,762.98,763,-21.69151489567983,-25.604672522329544,0,0,0,762.672098550111,0.36469093889679793,763
1789404960,762.99,763.06,762.7,762.73,-31.73292188604545,-25.903061888155747,0,1,0,762.6810064654785,0.36435587183273377,762.73
1789405080,762.73,762.9,762.57,762.9,-35.73118538137397,-25.878025804322203,0,0,0,762.7146977784818,0.3619018809875333,762.9
1789405200,762.89,763.06,762.73,762.79,-41.01580707474782,-25.937748486343917,0,0,0,762.7262827356384,0.3596231752027043,762.79
1789405320,762.75,762.87,762.53,762.59,-47.72614102034634,-26.587071042270736,0,0,0,762.7053161609248,0.35822151983108486,762.59
1789405440,762.65,762.715,762.59,762.66,-51.422312487808064,-27.1155098897335,0,0,0,762.6983444438595,0.3415628398431502,762.66
1789405560,762.66,762.8,762.5,762.51,-56.38816293728485,-28.062059482664964,0,0,0,762.6693683755734,0.33859406556863625,762.51
1789405680,762.52,762.53,762.35,762.43,-60.96969363153575,-29.248729309096987,0,0,0,762.632542471639,0.3272659180280158,762.43
1789405800,762.46,762.71,762.4,762.61,-60.60229692354448,-29.829370229915522,0,0,0,762.6290743990792,0.32603263816887607,762.61
1789405920,762.64,762.85,762.37,762.38,-64.66600840694429,-30.935326991014616,0,0,0,762.5907552607594,0.33703030687110047,762.38
1789406040,762.35,762.42,762.1,762.19,-69.74950630520786,-32.626823498742624,0,0,0,762.5291006052579,0.33581385638030303,762.19
1789406160,762.16,762.27,762.08,762.13,-74.56822728988148,-34.356313555933426,0,0,0,762.4677005121413,0.3253985809245629,762.13
1789406280,762.11,762.14,761.91,762.05,-79.2595038007447,-36.10911932558969,0,0,0,762.4034388948887,0.31858439657280974,762.05
1789406400,762.1,762.34,762.055,762.17,-80.31836847666207,-37.181944866590285,0,0,0,762.367525218752,0.3165426539604717,762.17
1789406520,762.17,762.41,762.17,762.309,-77.80685560900996,-37.78480126639884,0,0,0,762.358521338944,0.3110753215347244,762.309
1789406640,762.32,762.48,762.24,762.259,-77.07661352057815,-38.234259645150956,0,0,0,762.3432103637218,0.30599851285367335,762.259
1789406760,762.26,762.41,762.18,762.41,-73.04568641608424,-38.21654229335997,0,0,0,762.35348569238,0.30057004764984085,762.41
1789406880,762.35,762.71,762.33,762.71,-63.8401654331805,-35.03028705927784,0,0,0,762.4083340473985,0.3062436156748519,762.71
1789407000,762.715,762.83,762.52,762.65,-58.25206685781266,-31.87053368443494,0,0,0,762.4455134247219,0.3065119288409382,762.65
1789407120,762.689,762.83,762.5,762.62,-54.7190140071905,-29.30369979269208,0,0,0,762.4723575132261,0.30818964820944555,762.62
1789407240,762.57,762.72,762.51,762.55,-51.26497638145288,-27.44674904365584,0,0,0,762.4843025111913,0.3011761019087735,762.55
1789407360,762.55,762.73,762.55,762.73,-43.613949677392974,-24.97565523659047,0,0,0,762.5221021248542,0.29252066605815136,762.73
1789407480,762.72,762.86,762.72,762.83,-36.31046225804331,-22.212758643279027,0,0,0,762.5694710287228,0.2816263327682824,762.83
1789407600,762.84,762.84,762.6,762.6,-36.83327267862196,-20.907991581476733,0,0,0,762.5741677935347,0.2786530232848343,762.6
1789407720,762.58,762.71,762.53,762.71,-30.624954508965757,-19.364762442820734,0,0,0,762.5950650560678,0.27160637876449356,762.71
1789407840,762.7,762.76,762.55,762.63,-28.672562569685226,-18.372279753923547,0,0,0,762.6004396628266,0.2672059231384609,762.63
1789407960,762.6,762.77,762.59,762.76,-23.39915876936952,-16.961296855827406,0,0,0,762.6249874070071,0.2609769286285673,762.76
1789408080,762.78,762.835,762.64,762.65,-23.314627684642062,-16.211269606775833,0,0,0,762.6288354982368,0.2562642908693875,762.65
1789408200,762.67,762.73,762.59,762.68,-22.2642846898922,-15.556323090058958,0,0,0,762.6367069600465,0.2479596986644303,762.68
1789408320,762.68,762.85,762.65,762.71,-20.790318780575614,-14.841865366547136,0,0,0,762.647982812347,0.24453400590268853,762.71
1789408440,762.7,762.85,762.7,762.78,-17.108528559116625,-13.8335555302272,0,0,0,762.668293148909,0.23778157690963772,762.78
1789408560,762.79,762.86,762.6,762.66,-19.420870103549518,-13.512829205010952,0,0,0,762.667017279846,0.23936860713037725,762.66
1789408680,762.67,762.67,762.35,762.36,-31.039336788188002,-15.094718349103854,0,0,0,762.6197838521774,0.24512799233534577,762.36
1789408800,762.34,762.81,762.34,762.49,-37.496893895488036,-16.31166484298064,0,0,0,762.5998171056885,0.2611902785971006,762.49
1789408920,762.5,762.54,762.21,762.22,-51.81832259552739,-19.260502580643966,0,0,0,762.5413837048134,0.2661052586973025,762.22
1789409040,762.24,762.34,762.13,762.26,-59.78157990235884,-22.363504540297132,0,0,0,762.4980939040729,0.26209774021892634,762.26
1789409160,762.25,762.43,762.21,762.39,-61.07037748074191,-24.070735571159144,0,0,0,762.4814640726771,0.25909075877471116,762.39
1789409280,762.39,762.59,762.39,762.43,-60.59585400245646,-24.899615825393518,0,0,0,762.4735465230344,0.2548699902908065,762.43
1789409400,762.43,762.45,762.29,762.29,-65.28388721100109,-26.387616998984296,0,0,0,762.4453085964137,0.24809356241289757,762.29
1789409520,762.275,762.29,762.17,762.18,-72.7300386959232,-28.57155173681847,0,0,0,762.4044918892731,0.23894402224054806,762.18
1789409640,762.19,762.48,762.18,762.42,-67.51981560143646,-28.914116315281994,0,0,0,762.4068777524618,0.2433051635090852,762.42
1789409760,762.38,762.38,762.22,762.25,-71.25849094886226,-29.980675485129257,0,0,0,762.3827427136215,0.24021193754414566,762.25
1789409880,762.27,762.31,762.17,762.29,-71.41866273219514,-30.782369771952418,0,0,0,762.3684746038335,0.23305394200527713,762.29
1789410000,762.27,762.33,762.19,762.2,-76.27796965188222,-32.05568253286475,0,0,0,762.342555434013,0.22640723186204206,762.2
1789410120,762.18,762.2,762.11,762.13,-81.72847723891209,-33.68815650792771,0,0,0,762.3098545980109,0.21666385815761277,762.13
1789410240,762.14,762.21,762.08,762.15,-83.5320079730588,-34.976171058509784,0,0,0,762.2852615829323,0.21047358257492582,762.15
1789410360,762.16,762.18,762,762,-87.6490059797941,-36.892165271928114,0,0,0,762.2413751855581,0.20829689810528468,762
1789410480,762.01,762.04,761.91,762,-87.36216283330164,-38.45832970130641,0,0,0,762.2042405416261,0.20270426252633547,762
1789410600,762.05,762.15,761.97,762.02,-86.39712121753459,-39.54514504422696,0,0,0,762.1758958429143,0.20108252948873653,762.02
1789410720,762.03,762.33,762.01,762.26,-76.16626196578241,-38.87394779142179,0,0,0,762.1888349440044,0.20957663452525893,762.26
1789410840,762.27,762.35,762.19,762.3,-67.7352227901269,-37.70952252007247,0,0,0,762.2059372603114,0.20603544634488102,762.3
1789410960,762.31,762.47,762.29,762.39,-59.70668025049,-36.12053845371463,0,0,0,762.2342546048789,0.2041757716059655,762.39
1789411080,762.385,762.41,762.33,762.35,-54.20686203971696,-34.90048446080144,0,0,0,762.2520615887437,0.19530607363410563,762.35
